bin,R,G,B
1,179,3,38
2,185,22,42
3,193,42,48
4,198,53,52
5,205,66,58
6,211,77,64
7,216,86,70
8,221,96,76
9,226,106,83
10,230,116,90
11,234,123,96
12,237,132,103
13,240,141,111
14,242,147,117
15,244,155,124
16,246,163,132
17,246,170,140
18,247,176,146
19,246,182,154
20,245,192,167
