,struct,Side,struct_index,bin
0,AV_2,L,2,1
1,VA_4,L,4,17
2,VLa_5,L,5,20
3,VLP_6,L,6,17
4,VPL_7,L,7,15
5,Pul_8,L,8,7
6,LGN_9,L,9,4
7,MGN_10,L,10,5
8,CM_11,L,11,14
9,MD_Pf_12,L,12,9
10,AV_2,R,2,3
11,VA_4,R,4,14
12,VLa_5,R,5,18
13,VLP_6,R,6,19
14,VPL_7,R,7,14
15,Pul_8,R,8,4
16,LGN_9,R,9,1
17,MGN_10,R,10,8
18,CM_11,R,11,9
19,MD_Pf_12,R,12,12
