bin,R,G,B
1,197,50,51
2,218,90,72
3,234,123,96
4,244,154,123
5,247,178,149
6,243,198,176
7,232,213,202
8,220,220,221
9,207,217,234
10,195,213,242
11,184,207,248
12,172,200,252
13,159,190,254
14,146,180,254
15,134,169,252
16,122,157,248
17,108,142,241
18,96,128,232
19,85,113,222
20,72,96,209
