bin,R,G,B
1,255,255,34
2,255,255,10
3,255,246,0
4,255,228,0
5,255,212,0
6,255,193,0
7,255,178,0
8,255,159,0
9,255,144,0
10,255,125,0
11,255,110,0
12,255,91,0
13,255,75,0
14,255,57,0
15,255,41,0
16,255,23,0
17,255,7,0
18,244,0,0
19,228,0,0
20,210,0,0
