bin,R,G,B
1,197,50,51
2,216,86,70
3,230,116,90
4,240,141,111
5,246,164,134
6,246,183,156
7,242,200,179
8,232,213,202
9,220,220,221
10,207,217,234
11,194,212,243
12,182,206,249
13,168,197,253
14,155,187,254
15,139,174,253
16,126,161,249
17,112,147,243
18,99,131,234
19,86,115,224
20,72,96,209
