bin,R,G,B
1,211,15,32
2,223,23,28
3,233,39,31
4,242,57,36
5,249,73,40
6,252,96,47
7,252,116,52
8,252,138,59
9,253,152,64
10,253,164,70
11,253,176,75
12,254,191,90
13,254,203,103
14,254,216,117
15,254,223,132
16,254,230,146
17,254,236,159
18,255,243,176
19,255,249,190
20,255,255,204
