index,struct_name,left_exposure,right_exposure
1,THALAMUS_1,134.42500533216,128.43562563496502
10,MGN_10,530.88132100662,503.26839366073904
11,CM_11,370.943657637866,369.88720114533
12,MD_Pf_12,234.09035216373803,236.552762808216
13,Hb_13,446.747639283099,445.02368161216003
14,MTT_14,341.88032510140397,346.999680756004
2,AV_2,88.14513380764001,98.648367488379
26,Acc_26,268.21153384713597,253.02629674124003
27,Cau_27,22.958060845888003,24.29515016985
28,Cla_28,658.246748121707,656.821781374668
29,GPe_29,348.489649705428,343.98637488822
30,GPi_30,409.07963059945,396.39274799419803
31,Put_31,378.62421447172903,377.825056978068
32,RN_32,736.00931951856,727.923567461508
33,GP_33,357.493214591856,351.19482953105995
34,Amy_34,1350.245621389716,1357.37866089562
4,VA_4,186.994089979209,181.537169285491
4567,VL_4567,176.086470266847,167.009376902616
5,VLa_5,367.96142976646996,364.069389633278
6,VLP_6,203.59803950916003,200.01278304
7,VPL_7,286.866306962416,258.896632958358
8,Pul_8,181.6746401666,177.03243130715998
9,LGN_9,532.4476109013859,480.88350490549595
