index,struct_name,left_exposure,right_exposure
1,THALAMUS_1,7.072067,6.833038
2,AV_2,24.93863,24.049882
4,VA_4,27.053028,26.454887
5,VLa_5,25.10208,24.483039
6,VLP_6,17.067913,16.369205
7,VPL_7,13.650018,12.835553
8,Pul_8,8.495302,8.481411
9,LGN_9,19.955604,19.374879
10,MGN_10,19.818473,19.739544
11,CM_11,18.663454,18.414333
12,MD_Pf_12,17.544839,17.209273
13,Hb_13,22.18099,21.826141
14,MTT_14,30.223358,29.911549
26,Acc_26,44.491312,43.282431
27,Cau_27,6.922193,6.543815
28,Cla_28,28.746535,28.500967
29,GPe_29,28.833635,28.370443
30,GPi_30,29.991034,28.941657
31,Put_31,21.231927,21.03831
32,RN_32,27.369771,27.315193
33,GP_33,28.267136,27.745208
34,Amy_34,43.129891,43.07881
4567,VL_4567,12.759717,11.986418
