index,left_exposure,right_exposures
2,11.63065577477981,12.287873588342343
4,13.717681390271919,14.124388122052482
5,12.66824839285434,12.581354329006702
6,5.945309746980323,6.092987158007937
7,11.007494307523068,9.861982548508466
8,14.7577697000328,14.156693760856012
9,23.292705437656352,22.59341649510009
10,20.77776510204618,20.04199676050962
11,12.889314688839722,12.61486985965551
12,10.9328240922997,10.735596095319517
13,18.069106411436817,17.78291632255406
14,20.910926678367726,21.717417466238814
26,34.428683100696965,34.18376095758388
27,22.944070829669336,23.232749790136097
28,30.54850487613503,30.9435554529804
29,21.242891222424614,21.105472933654323
30,20.589013462338016,20.354500791607926
31,24.202420700147893,24.4990136922083
32,24.704390254493646,24.598568550171905
