index,left_exposure,right_exposures
2.0,28.830001451025783,28.311340551942706
4.0,29.627709394142347,29.00283023003923
5.0,25.254084783470127,24.240832766114384
6.0,21.66512891519015,20.994825728074602
7.0,13.978153837767934,13.173880833886768
8.0,10.573414458492271,10.132682057038892
9.0,19.6514234037074,18.725425928943952
10.0,17.403042362927067,16.741314962747786
11.0,18.16306982059609,17.64936864889709
12.0,21.106864660771897,20.574316724967904
13.0,19.857469172020657,19.47464777684379
14.0,32.0146345367783,31.718805658498816
26.0,49.5238776635045,48.39324884640914
27.0,42.21820371356554,41.1248185961609
28.0,42.696578707261274,42.09281612174795
29.0,35.47449803918086,34.31196805140149
30.0,33.032201700980536,31.94575833411227
31.0,38.16120872094042,37.41477356639248
32.0,28.337078397649794,27.783209441805635
