index,left_exposure,right_exposures
2,28.724858833024506,28.20118145380254
4,29.30127505113579,28.63718947542724
5,25.15402369015266,24.134353817381406
6,20.982215888109558,20.271701133870437
7,13.337369501609974,12.456555534606297
8,8.712833163377413,8.349248012375638
9,19.52753221275073,18.583536797812073
10,17.274307552621245,16.610572649426146
11,18.02912231997932,17.492163265511138
12,20.743111011984066,20.187040321866323
13,19.80351444589955,19.413690244637724
14,31.66203255347994,31.413774024003054
26,49.32910799991704,48.19582862027816
27,41.07615203672452,39.95803817803601
28,42.110495068325456,41.4995825109521
29,35.244834162414286,34.068580443354314
30,32.89120036096684,31.793315903582226
31,37.273340294230955,36.51833986137889
32,28.183176282040023,27.626475383476425
1,16.287740731402007,15.902696423567319
33,34.01633493447394,32.84731055038457
