2024-11-08 16:52:18.791 | WARNING  | monai_training.preprocess:prepare_labels:206 - Couldn't prepare image for Scan(subid=1003, sesid=20170329)
2024-11-08 16:52:18.795 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.795 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.796 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1004, sesid=20190906)
2024-11-08 16:52:18.796 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1004, sesid=20190906)
2024-11-08 16:52:18.801 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.801 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.801 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-srs.nii.gz
2024-11-08 16:52:18.801 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-srs.nii.gz
2024-11-08 16:52:18.801 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ed.nii.gz
2024-11-08 16:52:18.801 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ed.nii.gz
2024-11-08 16:52:18.802 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-dt.nii.gz
2024-11-08 16:52:18.802 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-dt.nii.gz
2024-11-08 16:52:18.802 | DEBUG    | mri_data.file_manager:find_label:408 - No label in [] matched search
2024-11-08 16:52:18.802 | DEBUG    | mri_data.file_manager:find_label:408 - No label in [] matched search
2024-11-08 16:52:18.802 | WARNING  | monai_training.preprocess:prepare_labels:206 - Couldn't prepare image for Scan(subid=1004, sesid=20190906)
2024-11-08 16:52:18.802 | WARNING  | monai_training.preprocess:prepare_labels:206 - Couldn't prepare image for Scan(subid=1004, sesid=20190906)
2024-11-08 16:52:18.807 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.807 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.807 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1005, sesid=20200708)
2024-11-08 16:52:18.807 | INFO     | mri_data.utils:combine_labels:84 - Combining labels for Scan(subid=1005, sesid=20200708)
2024-11-08 16:52:18.812 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.812 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ch.nii.gz
2024-11-08 16:52:18.812 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-srs.nii.gz
2024-11-08 16:52:18.812 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-srs.nii.gz
2024-11-08 16:52:18.812 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ed.nii.gz
2024-11-08 16:52:18.812 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-ed.nii.gz
2024-11-08 16:52:18.813 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-dt.nii.gz
2024-11-08 16:52:18.813 | DEBUG    | mri_data.file_manager:find_label:401 - Testing choroid_t1_flair-dt.nii.gz
2024-11-08 16:52:18.813 | DEBUG    | mri_data.file_manager:find_label:408 - No label in [] matched search
2024-11-08 16:52:18.813 | DEBUG    | mri_data.file_manager:find_label:408 - No label in [] matched search
2024-11-08 16:52:18.813 | WARNING  | monai_training.preprocess:prepare_labels:206 - Couldn't prepare image for Scan(subid=1005, sesid=20200708)
2024-11-08 16:52:18.813 | WARNING  | monai_training.preprocess:prepare_labels:206 - Couldn't prepare image for Scan(subid=1005, sesid=20200708)
2024-11-08 16:52:18.815 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
2024-11-08 16:52:18.815 | DEBUG    | monai_training.preprocess:prepare_labels:196 - Need to create choroid_t1_flair.pineal.pituitary.nii.gz
