coef,pvals,ci,p_fdr,coef_sig
0.021069066928972497,0.5840371442143799,"[-0.054501, 0.096639]",0.5840371442143799,0.0
0.14739004658321858,1.6204975016168073e-05,"[0.080928, 0.213852]",0.00016204975016168073,0.14739004658321858
0.12164582670160552,0.001380395829938866,"[0.047369, 0.195923]",0.0046013194331295535,0.12164582670160552
0.08760619394543324,0.0006231644875177411,"[0.037634, 0.137578]",0.0031158224375887056,0.08760619394543324
0.052965549108214945,0.07202736189032441,"[-0.004760, 0.110691]",0.09003420236290552,0.0
-0.04061843093555616,0.03641846735587688,"[-0.078658, -0.002579]",0.07283693471175376,0.0
-0.044988603899720654,0.25627994421504763,"[-0.122769, 0.032792]",0.28475549357227514,0.0
-0.06031636702027796,0.06526641376536683,"[-0.124461, 0.003828]",0.09003420236290552,0.0
-0.08341741218747284,0.022883712361449843,"[-0.155219, -0.011615]",0.05720928090362461,0.0
-0.040050665074225104,0.06218333850805619,"[-0.082149, 0.002048]",0.09003420236290552,0.0
