,struct,Side,struct_index,bin
0,AV_2,L,2,6
1,VA_4,L,4,10
2,VLa_5,L,5,9
3,VLP_6,L,6,5
4,VPL_7,L,7,5
5,Pul_8,L,8,1
6,LGN_9,L,9,2
7,MGN_10,L,10,2
8,CM_11,L,11,3
9,MD_Pf_12,L,12,1
10,AV_2,R,2,5
11,VA_4,R,4,9
12,VLa_5,R,5,8
13,VLP_6,R,6,5
14,VPL_7,R,7,5
15,Pul_8,R,8,1
16,LGN_9,R,9,3
17,MGN_10,R,10,3
18,CM_11,R,11,3
19,MD_Pf_12,R,12,1
